name,brand_name,original_price,discounted_price,rating_number,reviews_number,makeup_type,skin_type,texture
هدى بيوتي باليت ظلال العيون كريمي أوبسيشنز - نيوترال براون,HUDA BEAUTY,152,0,5,1,ظلال العيون,Not Available,كريمي
ميك اوفر22 بلاشر أحمر خدود ستيك كريمي أون ذا جلو,Make Over 22,46.74,28.04,4.9,42,أحمر خدود,Not Available,كريمي
ميبلين فيت مي بخاخ مثبت المكياج مات  - 60 مل,Maybelline,85,0,5,4,Not Available,Not Available,بخاخ - سائل
ميبلين  فيت مي مات اند بورليس برايمر - 30مل,Maybelline,51,30.60,5,51,برايمر,جافة - دهنية - طبيعية - مختلطة,كريمي
ذا بالم ظل عيون سائل لامع - ستروبري دايكيري,theBalm Cosmetics,45.37,15.88,4.8,32,ظلال العيون,Not Available,سائل
بلاشر احمر خدود واضاءة هايلايتر كولور بلاي بلشد من ريلوف - سويت,Relove,21,15.75,5,130,أحمر خدود - إضاءة,Not Available,بودرة
كريم اساس انفاليبل مطفي بتغطية 32 ساعة من لوريال باريس,LOreal Paris,86,0,0,0,كريم أساس,Not Available,كريمي
ميك اوفر22 مجموعة اضاءة قلو ميك اب - GM001,Make Over 22,94.09,70.56,5,541,إضاءة,Not Available,بودرة
بيريبيرا مجموعة ظلال العيون اول تيك مود - 16 برافو بينك بوبي,Peripera,95,0,0,0,ظلال العيون,Not Available,Not Available
ميساودا اسفنجة مكياج كريم أساس,MESAUDA,37,29.60,5,30,Not Available,Not Available,Not Available
سيسلي باريس بلاشر أحمر خدود لو فيتو بلاش,Sisley,345,0,0,0,أحمر خدود,جافة - حساسة - دهنية - طبيعية - مختلطة,بودرة
أحمر شفاه روج سائل ميت مات من ذا بالم - بيشنت,theBalm Cosmetics,65,22.75,5,51,أحمر شفاه,Not Available,سائل
جل حواجب ذا براو جلو من نيكس - بني غامق,NYX,55.01,35.75,5,88,الحواجب,Not Available,جــل
قلم النمش الطبيعي من ريلوف - بني,Relove,21,15.75,5,33,Not Available,Not Available,سائل
سيسلي باريس محدد العين فيتو آي تويست,Sisley,230,0,0,0,ضد الماء - محدد العين,Not Available,قلم - كريمي
ريفلوشن قلوس ملمع شفاه باوت بومب بلومبينج - جليز شفاف,Revolution,49,36.75,4.9,72,ملمع الشفاه,Not Available,سائل
مسكارا أون ذا رايز فوليوم ليفت سكارا من نيكس,NYX,69,44.85,5,63,ماسكارا,Not Available,سائل
توب فيس احمر شفاه روج سينسيتيف ستايلو - 003,Topface,50,17.50,4.9,88,أحمر شفاه,Not Available,كريمي
مجموعة ظلال العيون من نوره بوعوض - فايث,NORA BO AWADH,198,0,5,80,ظلال العيون,Not Available,بودرة
ميساودا قلوس ملمع شفاه ماتريكس - 105 نود أفيرز,MESAUDA,70,56,5,4,ملمع الشفاه,Not Available,Not Available
كالا ميك اب قلم تحديد الحواجب - بني رمادي - CM-49,CALLA Makeup,39,15.60,4.9,160,الحواجب,Not Available,كريمي
نوت كوزمتيك كحل سائل لتحديد العين الترا بلاك ايلاينر,NOTE Cosmetique,39.02,29.27,0,0,محدد العين,Not Available,سائل
ريفلوشن قطرات برونزر برايت لايت,Revolution,79,59.25,5,8,تسمير,جافة - حساسة - دهنية - طبيعية - مختلطة,سائل
اسفنجة مكياج ميركل باي سام & نيك من ريل تكنيك- 00110,Real Techniques,43.70,25,5,6,Not Available,Not Available,Not Available
مجموعة إخفاء العيوب وتصحيح وتحديد الوجه من نيكس - ديب 03,NYX,99,64.35,4.9,36,خافي عيوب - كريم أساس - كنتور,Not Available,كريمي
